trajectory_id,target
tr009401,2.858831
tr005725,1.578595
tr003307,2.957277
tr001562,2.804279
tr000041,2.57477
tr011097,2.185905
tr001990,0.785227
tr014501,1.247265
tr007440,1.78314
tr007161,1.86059
tr011773,2.046318
tr011123,2.000713
tr012742,2.168827
tr013565,2.532872
tr011809,0.711626
tr000202,1.189766
tr011724,0.684226
tr013675,2.720645
tr003389,2.134459
tr005514,0.708593
tr007892,1.522353
tr013188,1.207602
tr008513,1.877924
tr000535,1.226721
tr013644,1.251301
tr009517,2.414166
tr000895,2.588741
tr012919,0.706174
tr003963,0.535168
tr014205,1.908832
tr010995,2.619039
tr006178,2.205859
tr002491,1.888663
tr003378,2.839087
tr001375,0.732335
tr009266,2.148869
tr010075,2.862867
tr014245,2.734745
tr011519,1.099507
tr014085,2.198032
tr004541,1.32022
tr014662,2.59058
tr004552,1.51524
tr012766,2.62574
tr003812,0.844225
tr010352,1.333664
tr002059,2.732584
tr000353,1.203209
tr009990,0.501136
tr010889,1.081082
tr013090,1.951974
tr002509,1.335063
tr003890,1.132274
tr013159,0.573286
tr007886,2.601287
tr002543,2.526006
tr001203,1.401204
tr009408,1.385734
tr010635,0.5634
tr004427,1.674536
tr005015,0.53388
tr005585,1.641342
tr005755,2.631196
tr009047,1.20157
tr005667,2.020009
tr012004,2.837426
tr005264,1.246541
tr013316,0.58952
tr001924,1.670071
tr002459,0.62289
tr002159,2.973049
tr002868,0.958607
tr007331,1.749003
tr006158,2.4323
tr014890,1.908631
tr011112,2.788828
tr014627,1.673835
tr010937,1.412139
tr004335,2.313007
tr003822,2.27628
tr013858,1.811447
tr004312,2.307612
tr003220,1.218863
tr000333,0.864184
tr003031,1.725416
tr012799,0.718339
tr007126,1.579948
tr007115,2.121385
tr002762,1.331295
tr000882,0.658442
tr002843,1.423701
tr014157,2.468998
tr009540,2.186332
tr000167,2.441747
tr014771,1.10742
tr012533,1.220939
tr001823,1.577896
tr001967,2.915824
tr014995,2.884543
tr012828,0.759316
tr013105,2.347574
tr002730,1.385897
tr006912,2.052737
tr011428,2.9699
tr010604,2.882342
tr008849,1.42396
tr011008,1.460428
tr008573,1.68605
tr005038,1.303093
tr009341,2.242067
tr008146,1.523665
tr006780,1.728912
tr003776,2.062005
tr008599,2.542221
tr003449,2.925927
tr012511,1.541992
tr011092,1.788016
tr004498,1.120185
tr014770,2.128491
tr007189,2.151693
tr003780,2.082329
tr003734,2.036611
tr004494,2.56029
tr008020,0.912705
tr008367,2.473332
tr001535,2.899335
tr005766,0.804615
tr004577,2.778558
tr000385,1.217195
tr010894,2.02042
tr006155,1.892779
tr000531,1.812909
tr000990,2.001475
tr006567,2.744376
tr006965,1.080031
tr002885,1.318807
tr007877,2.805063
tr010581,0.550224
tr010215,1.457872
tr013115,2.12773
tr004158,1.675106
tr001776,0.71083
tr001427,1.751353
tr005357,2.604395
tr000536,2.648472
tr007865,2.049433
tr005629,1.929975
tr001671,2.127346
tr011493,2.254532
tr009480,2.507079
tr001394,2.226109
tr007721,2.620501
tr007430,2.248879
tr006841,2.757441
tr004629,0.663
tr013172,2.959712
tr001415,2.687034
tr007593,1.756917
tr002035,0.859318
tr008698,2.277962
tr014835,1.355543
tr004175,2.30194
tr003818,1.524608
tr006197,1.196924
tr002195,2.857563
tr014917,2.484949
tr004178,1.44363
tr006482,2.573551
tr014537,1.529199
tr001089,2.293723
tr012538,2.577212
tr003655,1.824417
tr005306,1.094302
tr007528,2.397184
tr012849,1.989177
tr009649,1.438375
tr005393,1.906394
tr000239,2.229903
tr000410,0.835913
tr001817,2.181998
tr012682,2.801446
tr001187,2.667508
tr001160,1.462427
tr003132,1.978865
tr009134,2.50278
tr009315,2.626099
tr000512,2.157726
tr004327,0.773891
tr011397,1.347853
tr009340,0.659231
tr007801,2.957738
tr012628,2.56901
tr004510,2.563008
tr010720,2.945077
tr011270,2.6663
tr005776,1.136175
tr004106,1.431712
tr009688,2.275403
tr008945,0.60626
tr006590,2.810673
tr002478,2.528017
tr002844,2.998879
tr003609,2.607127
tr011582,1.072757
tr004887,1.531429
tr006508,2.147765
tr003432,2.183199
tr001795,1.583689
tr006168,1.690105
tr006410,1.161235
tr004967,2.352051
tr011787,2.814103
tr011829,2.902458
tr001927,0.924158
tr000828,1.116906
tr001830,2.397761
tr003727,2.234157
tr011103,2.071328
tr010915,2.005262
tr013827,1.342816
tr011178,2.441882
tr005745,2.066874
tr012912,2.634213
tr006516,2.643037
tr011166,0.789239
tr012207,2.638169
tr014371,2.790687
tr002836,2.426711
tr002618,2.112278
tr006527,1.715598
tr011739,2.567972
tr005031,1.202277
tr004176,1.586093
tr009791,1.066268
tr013876,0.632369
tr002911,1.678274
tr014742,2.908832
tr002647,2.351494
tr008226,2.76621
tr005623,1.059319
tr012285,2.401537
tr009634,1.055816
tr014513,1.636392
tr003189,2.681504
tr004554,0.638863
tr013605,2.811278
tr003701,2.358291
tr012688,1.147899
tr001728,2.532334
tr005988,2.887709
tr011253,1.689329
tr010929,1.25019
tr003633,2.084913
tr011167,1.938128
tr006982,1.986753
tr014979,1.796521
tr004280,1.608926
tr011238,1.63099
tr013673,2.481887
tr007282,2.235727
tr003777,2.419049
tr008270,2.43257
tr006307,1.31044
tr006663,1.493477
tr004418,1.551671
tr006274,0.67699
tr004084,1.624672
tr006310,0.994079
tr004326,2.939142
tr007734,0.611113
tr004549,1.928977
tr009309,1.736843
tr005508,2.340995
tr011214,1.922808
tr013149,1.196029
tr012343,0.908708
tr005364,1.589959
tr011301,2.229047
tr007989,1.397064
tr009162,2.702432
tr002827,1.543361
tr003340,0.862524
tr007605,2.934169
tr008094,2.765559
tr005871,1.158401
tr012626,2.765203
tr002247,2.310031
tr006356,2.575424
tr000625,2.966371
tr001792,1.188309
tr007327,2.293172
tr002175,2.888746
tr013270,2.49223
tr004857,1.748126
tr011244,2.69182
tr010618,2.790253
tr001869,0.659078
tr001558,0.610742
tr007692,1.674623
tr003264,2.54452
tr008026,1.653316
tr007718,0.680137
tr005891,1.7053
tr006719,2.93855
tr013138,2.412401
tr000601,2.776588
tr011865,2.738323
tr008388,1.251626
tr011284,1.237943
tr004094,2.806206
tr006946,2.442414
tr007404,1.801541
tr000457,2.833824
tr004252,2.80398
tr009782,2.785033
tr001793,1.5817
tr005337,1.669723
tr013127,0.567547
tr004618,1.422027
tr006532,1.970174
tr008503,1.901723
tr004701,1.652201
tr011753,1.193782
tr004732,2.350314
tr014663,1.470591
tr006748,2.479634
tr006446,0.908903
tr006031,2.409246
tr000818,1.61188
tr007199,0.920431
tr008685,1.296211
tr003559,2.394821
tr008454,2.276462
tr002666,2.725317
tr003123,2.963613
tr014586,2.772588
tr005034,1.643937
tr002442,2.606777
tr000638,1.714695
tr010643,2.606255
tr011469,1.344252
tr013194,2.164855
tr006422,1.660174
tr001805,1.030559
tr013253,0.611957
tr008994,1.81032
tr003384,1.812158
tr011370,1.918568
tr013068,0.912552
tr002614,1.720508
tr010272,0.924537
tr009345,2.607488
tr003276,1.610647
tr010401,1.641952
tr010805,1.503994
tr004443,0.987212
tr009130,1.790194
tr004791,2.129244
tr014426,1.093779
tr005063,2.056526
tr010558,0.567756
tr003498,1.898674
tr007720,1.430832
tr003509,0.76328
tr014345,2.587168
tr005428,2.43342
tr003765,2.005754
tr009538,0.751001
tr014797,1.844476
tr003078,0.718483
tr001445,1.448131
tr002801,1.561818
tr002576,0.646567
tr014476,0.563694
tr009035,2.525399
tr010399,1.445847
tr009780,2.278499
tr003604,1.978254
tr002656,2.887483
tr013809,1.237099
tr010690,2.946356
tr009373,1.455201
tr006338,2.803437
tr012883,0.817808
tr004290,1.595212
tr007782,2.036839
tr009075,2.124329
tr007623,2.724886
tr006191,2.69581
tr001689,2.526949
tr012515,1.34451
tr014574,1.843465
tr007111,0.636301
tr003342,1.733931
tr011687,0.865267
tr000332,0.797037
tr013040,2.623136
tr003218,2.483323
tr003896,2.015476
tr008560,0.891483
tr001477,1.507935
tr000703,0.665542
tr012501,1.826296
tr006030,1.62271
tr009467,2.53022
tr002376,2.607005
tr011460,2.97581
tr012307,2.688091
tr001371,0.757873
tr004256,1.63009
tr001053,1.80836
tr007250,2.595022
tr004565,0.920361
tr013306,1.88508
tr005157,2.595552
tr010003,1.855068
tr007246,1.450682
tr004995,2.350814
tr004250,2.712687
tr008479,1.060383
tr006421,2.300381
tr008338,2.198274
tr008533,2.83399
tr001382,0.520723
tr000313,2.204738
tr001721,2.465376
tr004899,1.086534
tr003577,1.32567
tr008955,1.441472
tr011632,1.500208
tr009972,2.57767
tr007504,2.418791
tr009693,2.132136
tr001224,0.799973
tr008478,1.542839
tr005231,1.831144
tr011556,2.430001
tr013195,0.761204
tr003560,2.391934
tr014955,1.766215
tr012694,1.520162
tr006176,1.306107
tr004543,2.828967
tr010658,2.254162
tr004708,2.654463
tr005557,1.272098
tr009891,0.803009
tr014185,2.775251
tr012968,1.834122
tr008776,0.66287
tr011367,2.638577
tr010005,2.055751
tr005222,1.85913
tr009907,1.701003
tr004255,0.556778
tr004733,0.757777
tr003482,0.642428
tr014015,1.425736
tr014458,0.827183
tr013781,0.642274
tr010301,1.329601
tr006941,2.415356
tr013949,0.707716
tr006240,2.713145
tr011435,2.437338
tr002541,0.871043
tr005118,1.625575
tr005537,0.85086
tr014790,0.518477
tr014830,0.629202
tr010534,1.806914
tr001622,2.736705
tr000492,0.790845
tr012850,0.809368
tr006682,0.990216
tr013881,1.179459
tr014398,0.71711
tr005704,0.986583
tr004818,1.728399
tr011479,0.607042
tr010127,2.175987
tr000939,0.646741
tr013866,2.573838
tr006736,1.462507
tr007096,2.153472
tr010487,2.554524
tr001643,1.977944
tr005203,2.904905
tr007936,2.444221
tr002949,0.765437
tr000396,1.083572
tr007001,2.055689
tr014619,2.584415
tr003487,2.815564
tr003698,1.984624
tr005951,0.634348
tr008957,2.010704
tr011836,0.913633
tr002589,1.237414
